region;adress;coordinates;adress_back
Москва;Россия, г Москва, (м Сокол) пр-кт Ленинградский, д 77 к 1;(Decimal('37.509289'), Decimal('55.804901'));Россия, Москва, Ленинградский проспект, 77к1
Москва;Россия, г Москва, (м Серпуховская) ул Люсиновская, д 48-50 к 10;(Decimal('37.621579'), Decimal('55.721077'));Россия, Москва, Люсиновская улица, 48-50к10
Москва;Россия, г Москва, (м Павелецкая) ул Валовая, д 8/18;(Decimal('37.632125'), Decimal('55.730887'));Россия, Москва, Валовая улица, 8/18
Москва;Россия, г Москва, (м Жулебино) ул Тарханская, д 1;(Decimal('37.858581'), Decimal('55.685406'));Россия, Москва, Тарханская улица, 1
Москва;Россия, г Москва, (м Академическая) ул Новочерёмушкинская, д 21;(Decimal('37.582996'), Decimal('55.681849'));Россия, Москва, Новочерёмушкинская улица, 21к2
Москва;Россия, г Москва, (м Кунцевская) ул Багрицкого, д 3 к 1;(Decimal('37.437182'), Decimal('55.723972'));Россия, Москва, улица Багрицкого, 3к1
Москва;Россия, г Москва, (м Бабушкинская) ул Изумрудная, д 18;(Decimal('37.682916'), Decimal('55.871011'));Россия, Москва, Изумрудная улица, 18
Москва;Россия, г Москва, (м Крылатское) б-р Осенний, д 18 к 1;(Decimal('37.40866'), Decimal('55.761771'));Россия, Москва, Осенний бульвар, 18к1
С-Петербург;Россия, г Санкт-Петербург, (м Проспект Просвещения) пр-кт Энгельса, д 132 к 1;(Decimal('30.329343'), Decimal('60.047003'));Россия, Санкт-Петербург, проспект Энгельса, 132к1
С-Петербург;Россия, г Санкт-Петербург, (м Звёздная) пр-кт Космонавтов, д 61 к 1;(Decimal('30.356625'), Decimal('59.839642'));Россия, Санкт-Петербург, проспект Космонавтов, 61к1
С-Петербург;Россия, г Санкт-Петербург, (м Проспект Ветеранов) пр-кт Ленинский, д 76 к 1;(Decimal('30.18793'), Decimal('59.860188'));Россия, Санкт-Петербург, Ленинский проспект, 76к1
С-Петербург;Россия, г Санкт-Петербург, (м Проспект Ветеранов) пр-кт Маршала Жукова, д 41;(Decimal('30.218563'), Decimal('59.85111'));Россия, Санкт-Петербург, проспект Маршала Жукова, 41
С-Петербург;Россия, г Санкт-Петербург, (м Кировский завод) ул Краснопутиловская, д 12;(Decimal('30.263963'), Decimal('59.873559'));Россия, Санкт-Петербург, Краснопутиловская улица, 12
С-Петербург;Россия, г Санкт-Петербург, (м Площадь Александра Невского) ул Кременчугская, д 9/1;(Decimal('30.371806'), Decimal('59.923653'));Россия, Санкт-Петербург, Кременчугская улица, 9к1
С-Петербург;Россия, г Санкт-Петербург, (м Чёрная речка) ш Ланское, д 16;(Decimal('30.313218'), Decimal('59.993874'));Россия, Санкт-Петербург, Ланское шоссе, 16к1
С-Петербург;Россия, г Санкт-Петербург, (м Академическая) ул Гжатская, д 22 к 4;(Decimal('30.38829'), Decimal('60.013654'));Россия, Санкт-Петербург, Гжатская улица, 22к4
Архангельская область;Россия, г Архангельск, пр-кт Московский, д 45;(Decimal('40.615412'), Decimal('64.532649'));Россия, Архангельск, Московский проспект, 45
Архангельская область;Россия, г Северодвинск, ул Железнодорожная, д 11;(Decimal('39.849688'), Decimal('64.570887'));Россия, Архангельская область, Северодвинск, Железнодорожная улица, 11
Архангельская область;Россия, г Архангельск, ул Никитова, д 7;(Decimal('40.66932'), Decimal('64.509995'));Россия, Архангельск, округ Варавино-Фактория, улица Никитова, 7
Архангельская область;Россия, г Архангельск, ул Первомайская, д 4;(Decimal('40.601264'), Decimal('64.525884'));Россия, Архангельск, Первомайская улица, 4
Архангельская область;Россия, г Архангельск, ул Логинова, д 24;(Decimal('40.532731'), Decimal('64.547674'));Россия, Архангельск, улица Логинова, 24
Архангельская область;Россия, г Архангельск, ул Володарского, д 8;(Decimal('40.529084'), Decimal('64.533569'));Россия, Архангельск, улица Володарского, 8
Архангельская область;Россия, г Архангельск, пр-кт Троицкий, д 135;(Decimal('40.523793'), Decimal('64.558522'));Россия, Архангельск, Троицкий проспект, 135
Архангельская область;Россия, г Архангельск, ул Воскресенская, д 17;(Decimal('40.52779'), Decimal('64.541465'));Россия, Архангельск, Воскресенская улица, 17
Архангельская область;Россия, г Архангельск, ул Попова, д 18;(Decimal('40.522329'), Decimal('64.546599'));Россия, Архангельск, улица Попова, 18
